SYSTEM: 2024-11-14 15:07:22,060 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:07:22,061 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:07:46,059 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:07:46,061 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:07:46,160 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:07:46,162 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:07:46,262 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:07:46,264 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:08:42,058 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:08:42,060 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:09:43,062 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:09:43,063 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:09:43,138 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:09:43,140 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:10:22,187 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:10:22,188 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:10:22,251 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:10:22,252 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:11:09,120 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:11:09,121 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:11:09,284 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:11:09,285 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:11:09,389 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:11:09,391 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:11:45,374 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:11:45,375 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:12:27,487 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:12:27,488 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:12:49,924 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:12:49,925 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:13:36,874 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:13:36,875 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:13:36,950 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:13:36,953 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:13:54,946 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:13:54,948 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:13:55,023 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:13:55,024 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:13:55,094 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:13:55,095 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:14:44,218 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:14:44,219 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:14:44,334 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:14:44,335 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:15:06,189 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:15:06,190 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:15:06,262 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:15:06,264 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:15:06,356 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:15:06,357 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:15:50,408 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:15:50,409 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:15:50,474 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:15:50,475 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:15:50,544 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:15:50,545 | system_logger | INFO | Found top 3 most trending songs 
SYSTEM: 2024-11-14 15:16:10,760 | system_logger | INFO | Calculated popularity score by EMA
SYSTEM: 2024-11-14 15:16:10,761 | system_logger | INFO | Found top 3 most trending songs 
